"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Nov 18 14:18:55 GMT+12:00 2023","Sat Nov 18 14:18:59 GMT+12:00 2023","4526","tests","test_posts","TestPosts","","","test_search_post_by_title_positive",""
"passed","Sat Nov 18 14:20:40 GMT+12:00 2023","Sat Nov 18 14:20:42 GMT+12:00 2023","2945","tests","test_users","TestUsers","","","test_create_new_user_positive[get_create_user_data8]","
        Validation points:
        - validate_successful_response_201
        - validate_content_type
        - validate_auth_token
        - validate response is a dictionary
        - validate_response_time
        - validate_environment
        - validate_single_object_schema
        - validate_response_body
        - validate gender is either male or female
        - validate status is either active or inactive
        "
"skipped","Sat Nov 18 14:22:08 GMT+12:00 2023","Sat Nov 18 14:22:09 GMT+12:00 2023","627","tests","test_users","TestUsers","","","test_search_user_pagination_negative[ ]",""
"passed","Sat Nov 18 14:22:04 GMT+12:00 2023","Sat Nov 18 14:22:05 GMT+12:00 2023","794","tests","test_users","TestUsers","","","test_get_user_by_id_negative[-123]",""
"passed","Sat Nov 18 14:22:06 GMT+12:00 2023","Sat Nov 18 14:22:06 GMT+12:00 2023","307","tests","test_users","TestUsers","","","test_search_users_by_name_negative",""
"passed","Sat Nov 18 14:19:44 GMT+12:00 2023","Sat Nov 18 14:19:44 GMT+12:00 2023","3","tests","test_posts","TestPosts","","","test_search_post_by_user_id_negative",""
"passed","Sat Nov 18 14:19:44 GMT+12:00 2023","Sat Nov 18 14:19:44 GMT+12:00 2023","0","tests","test_posts","TestPosts","","","test_search_post_by_title_negative",""
"passed","Sat Nov 18 14:21:56 GMT+12:00 2023","Sat Nov 18 14:22:04 GMT+12:00 2023","8351","tests","test_users","TestUsers","","","test_create_new_user_negative","
        Validation points:
        Note: For each '-' scenario different API request is sent as we have to differ the data in every request

        - Unauthorized user validation
            + validate unauthenticated status 401
            + validate unauthenticated user message
        - Blank request data validation [empty strings]
            + validate unprocessable entity 422
            + validate error messages for sending blank data
        - Duplicate email validation
            + validate unprocessable entity 422
            + validate duplicate email message
        - Invalid gender and email validation
            + validate unprocessable entity 422
            + validate error messages for sending invalid email and gender
        "
"skipped","Sat Nov 18 14:19:46 GMT+12:00 2023","Sat Nov 18 14:19:48 GMT+12:00 2023","2101","tests","test_posts","TestPosts","","","test_pagination_negative[%$#@!]",""
"passed","Sat Nov 18 14:19:25 GMT+12:00 2023","Sat Nov 18 14:19:27 GMT+12:00 2023","2560","tests","test_posts","TestPosts","","","test_update_post_positive[get_create_post_data6]",""
"passed","Sat Nov 18 14:21:26 GMT+12:00 2023","Sat Nov 18 14:21:32 GMT+12:00 2023","5691","tests","test_users","TestUsers","","","test_update_user_positive[get_create_user_data5]",""
"passed","Sat Nov 18 14:19:18 GMT+12:00 2023","Sat Nov 18 14:19:22 GMT+12:00 2023","3235","tests","test_posts","TestPosts","","","test_update_post_positive[get_create_post_data4]",""
"passed","Sat Nov 18 14:18:30 GMT+12:00 2023","Sat Nov 18 14:18:31 GMT+12:00 2023","1722","tests","test_posts","TestPosts","","","test_create_new_post_positive[get_create_post_data2]",""
"passed","Sat Nov 18 14:19:50 GMT+12:00 2023","Sat Nov 18 14:19:57 GMT+12:00 2023","7536","tests","test_posts","TestPosts","","","test_update_post_negative",""
"passed","Sat Nov 18 14:22:09 GMT+12:00 2023","Sat Nov 18 14:22:15 GMT+12:00 2023","6137","tests","test_users","TestUsers","","","test_update_user_negative",""
"passed","Sat Nov 18 14:21:22 GMT+12:00 2023","Sat Nov 18 14:21:26 GMT+12:00 2023","3915","tests","test_users","TestUsers","","","test_update_user_positive[get_create_user_data4]",""
"passed","Sat Nov 18 14:20:22 GMT+12:00 2023","Sat Nov 18 14:20:27 GMT+12:00 2023","4694","tests","test_users","TestUsers","","","test_create_new_user_positive[get_create_user_data4]","
        Validation points:
        - validate_successful_response_201
        - validate_content_type
        - validate_auth_token
        - validate response is a dictionary
        - validate_response_time
        - validate_environment
        - validate_single_object_schema
        - validate_response_body
        - validate gender is either male or female
        - validate status is either active or inactive
        "
"passed","Sat Nov 18 14:19:16 GMT+12:00 2023","Sat Nov 18 14:19:18 GMT+12:00 2023","2469","tests","test_posts","TestPosts","","","test_update_post_positive[get_create_post_data3]",""
"passed","Sat Nov 18 14:20:42 GMT+12:00 2023","Sat Nov 18 14:20:46 GMT+12:00 2023","3271","tests","test_users","TestUsers","","","test_create_new_user_positive[get_create_user_data9]","
        Validation points:
        - validate_successful_response_201
        - validate_content_type
        - validate_auth_token
        - validate response is a dictionary
        - validate_response_time
        - validate_environment
        - validate_single_object_schema
        - validate_response_body
        - validate gender is either male or female
        - validate status is either active or inactive
        "
"passed","Sat Nov 18 14:21:15 GMT+12:00 2023","Sat Nov 18 14:21:22 GMT+12:00 2023","7248","tests","test_users","TestUsers","","","test_update_user_positive[get_create_user_data3]",""
"skipped","Sat Nov 18 14:22:08 GMT+12:00 2023","Sat Nov 18 14:22:08 GMT+12:00 2023","381","tests","test_users","TestUsers","","","test_search_user_pagination_negative[%$#@!]",""
"passed","Sat Nov 18 14:18:47 GMT+12:00 2023","Sat Nov 18 14:18:50 GMT+12:00 2023","2956","tests","test_posts","TestPosts","","","test_create_new_post_positive[get_create_post_data9]",""
"passed","Sat Nov 18 14:18:40 GMT+12:00 2023","Sat Nov 18 14:18:41 GMT+12:00 2023","1652","tests","test_posts","TestPosts","","","test_create_new_post_positive[get_create_post_data6]",""
"passed","Sat Nov 18 14:22:05 GMT+12:00 2023","Sat Nov 18 14:22:06 GMT+12:00 2023","803","tests","test_users","TestUsers","","","test_get_user_by_id_negative[%$#@!]",""
"passed","Sat Nov 18 14:21:37 GMT+12:00 2023","Sat Nov 18 14:21:43 GMT+12:00 2023","6119","tests","test_users","TestUsers","","","test_update_user_positive[get_create_user_data7]",""
"passed","Sat Nov 18 14:20:46 GMT+12:00 2023","Sat Nov 18 14:20:48 GMT+12:00 2023","2752","tests","test_users","TestUsers","","","test_get_user_by_id_positive","
        Validation points:
        - validate_successful_response_200
        - validate_content_type
        - validate_auth_token
        - validate response is a dictionary
        - validate_response_time
        - validate_environment
        - validate_single_object_schema
        - validate_response_body
        "
"skipped","Sat Nov 18 14:19:48 GMT+12:00 2023","Sat Nov 18 14:19:50 GMT+12:00 2023","1711","tests","test_posts","TestPosts","","","test_pagination_negative[ ]",""
"passed","Sat Nov 18 14:20:12 GMT+12:00 2023","Sat Nov 18 14:20:15 GMT+12:00 2023","2746","tests","test_users","TestUsers","","","test_create_new_user_positive[get_create_user_data1]","
        Validation points:
        - validate_successful_response_201
        - validate_content_type
        - validate_auth_token
        - validate response is a dictionary
        - validate_response_time
        - validate_environment
        - validate_single_object_schema
        - validate_response_body
        - validate gender is either male or female
        - validate status is either active or inactive
        "
"passed","Sat Nov 18 14:19:08 GMT+12:00 2023","Sat Nov 18 14:19:11 GMT+12:00 2023","2749","tests","test_posts","TestPosts","","","test_update_post_positive[get_create_post_data1]",""
"passed","Sat Nov 18 14:21:32 GMT+12:00 2023","Sat Nov 18 14:21:37 GMT+12:00 2023","4891","tests","test_users","TestUsers","","","test_update_user_positive[get_create_user_data6]",""
"passed","Sat Nov 18 14:20:50 GMT+12:00 2023","Sat Nov 18 14:20:50 GMT+12:00 2023","778","tests","test_users","TestUsers","","","test_search_users_by_email_positive",""
"passed","Sat Nov 18 14:21:53 GMT+12:00 2023","Sat Nov 18 14:21:56 GMT+12:00 2023","2889","tests","test_users","TestUsers","","","test_delete_user_positive",""
"passed","Sat Nov 18 14:21:43 GMT+12:00 2023","Sat Nov 18 14:21:47 GMT+12:00 2023","4464","tests","test_users","TestUsers","","","test_update_user_positive[get_create_user_data8]",""
"failed","Sat Nov 18 14:19:05 GMT+12:00 2023","Sat Nov 18 14:19:06 GMT+12:00 2023","1086","tests","test_posts","TestPosts","","","test_pagination_positive",""
"passed","Sat Nov 18 14:18:59 GMT+12:00 2023","Sat Nov 18 14:19:03 GMT+12:00 2023","3411","tests","test_posts","TestPosts","","","test_search_post_by_body_positive",""
"passed","Sat Nov 18 14:19:11 GMT+12:00 2023","Sat Nov 18 14:19:16 GMT+12:00 2023","4685","tests","test_posts","TestPosts","","","test_update_post_positive[get_create_post_data2]",""
"passed","Sat Nov 18 14:19:31 GMT+12:00 2023","Sat Nov 18 14:19:34 GMT+12:00 2023","2553","tests","test_posts","TestPosts","","","test_update_post_positive[get_create_post_data8]",""
"passed","Sat Nov 18 14:18:54 GMT+12:00 2023","Sat Nov 18 14:18:54 GMT+12:00 2023","772","tests","test_posts","TestPosts","","","test_get_all_posts_positive",""
"passed","Sat Nov 18 14:19:57 GMT+12:00 2023","Sat Nov 18 14:20:03 GMT+12:00 2023","5282","tests","test_posts","TestPosts","","","test_delete_post_negative[-123]",""
"passed","Sat Nov 18 14:18:37 GMT+12:00 2023","Sat Nov 18 14:18:40 GMT+12:00 2023","3238","tests","test_posts","TestPosts","","","test_create_new_post_positive[get_create_post_data5]",""
"skipped","Sat Nov 18 14:22:07 GMT+12:00 2023","Sat Nov 18 14:22:08 GMT+12:00 2023","883","tests","test_users","TestUsers","","","test_search_user_pagination_negative[-123]",""
"passed","Sat Nov 18 14:22:06 GMT+12:00 2023","Sat Nov 18 14:22:07 GMT+12:00 2023","315","tests","test_users","TestUsers","","","test_search_users_by_email_negative",""
"skipped","Sat Nov 18 14:19:44 GMT+12:00 2023","Sat Nov 18 14:19:46 GMT+12:00 2023","1972","tests","test_posts","TestPosts","","","test_pagination_negative[-123]",""
"passed","Sat Nov 18 14:18:44 GMT+12:00 2023","Sat Nov 18 14:18:47 GMT+12:00 2023","3458","tests","test_posts","TestPosts","","","test_create_new_post_positive[get_create_post_data8]",""
"passed","Sat Nov 18 14:20:07 GMT+12:00 2023","Sat Nov 18 14:20:12 GMT+12:00 2023","4971","tests","test_users","TestUsers","","","test_create_new_user_positive[get_create_user_data0]","
        Validation points:
        - validate_successful_response_201
        - validate_content_type
        - validate_auth_token
        - validate response is a dictionary
        - validate_response_time
        - validate_environment
        - validate_single_object_schema
        - validate_response_body
        - validate gender is either male or female
        - validate status is either active or inactive
        "
"passed","Sat Nov 18 14:20:49 GMT+12:00 2023","Sat Nov 18 14:20:50 GMT+12:00 2023","619","tests","test_users","TestUsers","","","test_search_users_by_name_positive",""
"passed","Sat Nov 18 14:20:18 GMT+12:00 2023","Sat Nov 18 14:20:22 GMT+12:00 2023","4267","tests","test_users","TestUsers","","","test_create_new_user_positive[get_create_user_data3]","
        Validation points:
        - validate_successful_response_201
        - validate_content_type
        - validate_auth_token
        - validate response is a dictionary
        - validate_response_time
        - validate_environment
        - validate_single_object_schema
        - validate_response_body
        - validate gender is either male or female
        - validate status is either active or inactive
        "
"passed","Sat Nov 18 14:22:06 GMT+12:00 2023","Sat Nov 18 14:22:06 GMT+12:00 2023","295","tests","test_users","TestUsers","","","test_get_user_by_id_negative[ ]",""
"passed","Sat Nov 18 14:20:27 GMT+12:00 2023","Sat Nov 18 14:20:30 GMT+12:00 2023","2758","tests","test_users","TestUsers","","","test_create_new_user_positive[get_create_user_data5]","
        Validation points:
        - validate_successful_response_201
        - validate_content_type
        - validate_auth_token
        - validate response is a dictionary
        - validate_response_time
        - validate_environment
        - validate_single_object_schema
        - validate_response_body
        - validate gender is either male or female
        - validate status is either active or inactive
        "
"passed","Sat Nov 18 14:18:50 GMT+12:00 2023","Sat Nov 18 14:18:54 GMT+12:00 2023","3542","tests","test_posts","TestPosts","","","test_get_post_by_id_positive",""
"passed","Sat Nov 18 14:20:03 GMT+12:00 2023","Sat Nov 18 14:20:07 GMT+12:00 2023","4748","tests","test_posts","TestPosts","","","test_delete_post_negative[!@#$]",""
"passed","Sat Nov 18 14:19:03 GMT+12:00 2023","Sat Nov 18 14:19:05 GMT+12:00 2023","2172","tests","test_posts","TestPosts","","","test_search_post_by_user_id_positive",""
"passed","Sat Nov 18 14:18:26 GMT+12:00 2023","Sat Nov 18 14:18:30 GMT+12:00 2023","3876","tests","test_posts","TestPosts","","","test_create_new_post_positive[get_create_post_data1]",""
"passed","Sat Nov 18 14:22:15 GMT+12:00 2023","Sat Nov 18 14:22:18 GMT+12:00 2023","3331","tests","test_users","TestUsers","","","test_delete_user_negative",""
"failed","Sat Nov 18 14:18:20 GMT+12:00 2023","Sat Nov 18 14:18:26 GMT+12:00 2023","5590","tests","test_posts","TestPosts","","","test_create_new_post_positive[get_create_post_data0]",""
"passed","Sat Nov 18 14:20:49 GMT+12:00 2023","Sat Nov 18 14:20:49 GMT+12:00 2023","508","tests","test_users","TestUsers","","","test_get_all_users_positive","
        Validation points:
        - validate_successful_response_200
        - validate_content_type
        - validate_auth_token
        - validate response is an array/list
        - validate_response_time
        - validate_environment
        - validate_multiple_object_schema
        "
"passed","Sat Nov 18 14:18:34 GMT+12:00 2023","Sat Nov 18 14:18:37 GMT+12:00 2023","2653","tests","test_posts","TestPosts","","","test_create_new_post_positive[get_create_post_data4]",""
"passed","Sat Nov 18 14:20:51 GMT+12:00 2023","Sat Nov 18 14:20:56 GMT+12:00 2023","5483","tests","test_users","TestUsers","","","test_update_user_positive[get_create_user_data0]",""
"passed","Sat Nov 18 14:18:32 GMT+12:00 2023","Sat Nov 18 14:18:34 GMT+12:00 2023","2327","tests","test_posts","TestPosts","","","test_create_new_post_positive[get_create_post_data3]",""
"passed","Sat Nov 18 14:20:15 GMT+12:00 2023","Sat Nov 18 14:20:18 GMT+12:00 2023","2876","tests","test_users","TestUsers","","","test_create_new_user_positive[get_create_user_data2]","
        Validation points:
        - validate_successful_response_201
        - validate_content_type
        - validate_auth_token
        - validate response is a dictionary
        - validate_response_time
        - validate_environment
        - validate_single_object_schema
        - validate_response_body
        - validate gender is either male or female
        - validate status is either active or inactive
        "
"passed","Sat Nov 18 14:21:47 GMT+12:00 2023","Sat Nov 18 14:21:53 GMT+12:00 2023","5557","tests","test_users","TestUsers","","","test_update_user_positive[get_create_user_data9]",""
"passed","Sat Nov 18 14:20:37 GMT+12:00 2023","Sat Nov 18 14:20:39 GMT+12:00 2023","2593","tests","test_users","TestUsers","","","test_create_new_user_positive[get_create_user_data7]","
        Validation points:
        - validate_successful_response_201
        - validate_content_type
        - validate_auth_token
        - validate response is a dictionary
        - validate_response_time
        - validate_environment
        - validate_single_object_schema
        - validate_response_body
        - validate gender is either male or female
        - validate status is either active or inactive
        "
"passed","Sat Nov 18 14:19:27 GMT+12:00 2023","Sat Nov 18 14:19:31 GMT+12:00 2023","4170","tests","test_posts","TestPosts","","","test_update_post_positive[get_create_post_data7]",""
"passed","Sat Nov 18 14:20:50 GMT+12:00 2023","Sat Nov 18 14:20:51 GMT+12:00 2023","523","tests","test_users","TestUsers","","","test_search_user_pagination_positive",""
"passed","Sat Nov 18 14:19:43 GMT+12:00 2023","Sat Nov 18 14:19:43 GMT+12:00 2023","466","tests","test_posts","TestPosts","","","test_get_post_by_id_negative[-123]",""
"passed","Sat Nov 18 14:19:37 GMT+12:00 2023","Sat Nov 18 14:19:39 GMT+12:00 2023","2901","tests","test_posts","TestPosts","","","test_delete_post_positive",""
"passed","Sat Nov 18 14:20:30 GMT+12:00 2023","Sat Nov 18 14:20:37 GMT+12:00 2023","7012","tests","test_users","TestUsers","","","test_create_new_user_positive[get_create_user_data6]","
        Validation points:
        - validate_successful_response_201
        - validate_content_type
        - validate_auth_token
        - validate response is a dictionary
        - validate_response_time
        - validate_environment
        - validate_single_object_schema
        - validate_response_body
        - validate gender is either male or female
        - validate status is either active or inactive
        "
"passed","Sat Nov 18 14:19:22 GMT+12:00 2023","Sat Nov 18 14:19:25 GMT+12:00 2023","3033","tests","test_posts","TestPosts","","","test_update_post_positive[get_create_post_data5]",""
"passed","Sat Nov 18 14:19:34 GMT+12:00 2023","Sat Nov 18 14:19:37 GMT+12:00 2023","2562","tests","test_posts","TestPosts","","","test_update_post_positive[get_create_post_data9]",""
"passed","Sat Nov 18 14:19:43 GMT+12:00 2023","Sat Nov 18 14:19:44 GMT+12:00 2023","433","tests","test_posts","TestPosts","","","test_get_post_by_id_negative[%$#@!]",""
"passed","Sat Nov 18 14:19:44 GMT+12:00 2023","Sat Nov 18 14:19:44 GMT+12:00 2023","356","tests","test_posts","TestPosts","","","test_get_post_by_id_negative[ ]",""
"passed","Sat Nov 18 14:19:39 GMT+12:00 2023","Sat Nov 18 14:19:43 GMT+12:00 2023","3109","tests","test_posts","TestPosts","","","test_create_new_post_negative",""
"passed","Sat Nov 18 14:20:56 GMT+12:00 2023","Sat Nov 18 14:21:02 GMT+12:00 2023","5291","tests","test_users","TestUsers","","","test_update_user_positive[get_create_user_data1]",""
"passed","Sat Nov 18 14:19:06 GMT+12:00 2023","Sat Nov 18 14:19:08 GMT+12:00 2023","2531","tests","test_posts","TestPosts","","","test_update_post_positive[get_create_post_data0]",""
"passed","Sat Nov 18 14:21:02 GMT+12:00 2023","Sat Nov 18 14:21:15 GMT+12:00 2023","13024","tests","test_users","TestUsers","","","test_update_user_positive[get_create_user_data2]",""
"passed","Sat Nov 18 14:18:41 GMT+12:00 2023","Sat Nov 18 14:18:44 GMT+12:00 2023","2214","tests","test_posts","TestPosts","","","test_create_new_post_positive[get_create_post_data7]",""
